California           05   Nutrition Education Administrator                                                    Web  11111111111111111111111111111111111111111112111111111111111221111111111111111121111111111111121111111111112121221121222221Political Science; Health Policy                   2AAAAAA                                                   1222221Public Policy and Administration                   222222                                                   
Wyoming              51   Nutrition Programs Consultant                                                        Web  221212222212112111121221221111211111111122111121111111211112212111211111112211111121121222222222221221112121221212AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Iowa                 16   Chief, Bureau of Nutrition and Health                                                Web  21111122221212222111122222121222111111212211112111121122221221111111111111221222112111111111121211111111111121111121222212                                                   2AAAAAA                                                   1222121specific to food service mgmt)                     121221Dietitian License                                  
New Hampshire        30   Systems Specialist                                                                   Web  222222222222222211211111211111111121111111111111111111221212212111111111111112111111112222211222121211111111111112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Missouri             26   Coordinator of School Food Services                                                  Web  22222C21211111C1111111112C1211111111111121111111C1111111111221111111111111221111112111111111111111111111111121111121222212                                                   2AAAAAA                                                   2AAAAAA                                                   221222                                                   
District Of Columbia 09   Director, Wellness and Nutrition Services                                            Web  11111111111211111111111111121111111111111112111111111111111221211111111112221111112111111221221212111221111122111121222212                                                   1222221Science                                            1222212                                                   221222                                                   
Colorado             06   School Nutrition Consultant                                                          Web  122212212222111112121221221222211222122122121121121212222212212121111221211212221222222111121222121221111211221112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Tennessee            43   Director, School Nutrition Services                                                  Web  1111111122211111111112112221111111111111C11111111111111212112111112111C111111211122111C12C122212111211111111212212AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Kentucky             18   Division Dir., School & Comm. Nutrition                                              Web  22221C212212111111221111C2121111C11111111111112121111111211111212111111211121111112111211122121212121112112111111121222221Music Merchandising                                2AAAAAA                                                   2AAAAAA                                                   22CC21Level 1                                            
Virginia             47   Director, School Nutrition Programs                                                  Web  21111222222212111122122122221211111112212221111211122121111221111111211111122221222211211111211211212111111121111121221212                                                   2AAAAAA                                                   1221221MS in Administration                               121222                                                   
North Dakota         35   Co-Director of Coordinated School Health                                             Web  122212212222121112221221221211111121111122111111111211111211111111111111111211111121111111121222111121111121111112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Alabama              01   Director, Child Nutrition Services                                                   Web  111111111212111111111111121111211111111112111121111111121111211111111111111211111121121212211222121211111111111112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Pennsylvania         39   Chief, Division of Food and Nutrition                                                Web  11111111111111C111111111111111C11111111111111111111111111112212111111111111111111121112111211121121111111121211112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Alaska               02   State Program Administrator                                                          Web  22222222221212221111111122111112111111112211121112111212111221211111212212221111222111112122122111112111111121121122AAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   222211Advanced Certified Food Protection Manager         
Delaware             08   Director of School Support Services                                                  Web  2212122122221122112212112222112112221211C1111111111211122112212221122111211111221212111111121212111121111121212212AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Utah                 45   Administrator, CNP                                                                   Web  122212212222222212221221222222221222122122121221221221211112212111112111222222211121122222222211121211122221221112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Hawaii               12   Food Services Branch Director                                                        Web  11111111121211211111111112121121111111111212112121111211111211112111112111111121111112121112111111111111121111111112AAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   222222                                                   
New Jersey           31   Coordinator, School Nutrition Programs                                               Web  22221221222212222222122122221222122222212212122212222222221221212122222221222121222212211121111112121111112122211121221211Food Science                                       2AAAAAA                                                   2AAAAAA                                                   222222                                                   
Texas                44   Assistant Commissioner, Food & Nutrition                                             Web  11111121221111211111112122111121111111111111111121121112111111211111111111121111111112111121111112111111111121111121222221Accounting                                         2AAAAAA                                                   2AAAAAA                                                   222222                                                   
South Dakota         42   Director, Child & Adult Nutrition Servic                                             Web  21222211221211111112122122121121111211112112112111122111111111211111111111121221112111111122121112112111111121111121222121Extension major                                    1222121education minor                                    2AAAAAA                                                   222222                                                   
Rhode Island         40   Nutrition Manager                                                                    Web  11211121222212111111122122221212111111112222121221121212221221211111111111221222222212211121222211111121112122221121222212                                                   2AAAAAA                                                   1222221Community Nutrition                                221222                                                   
Maryland             21   Section Chief, Sch/Comm Nutrition Branch                                             Web  12221111211111211222111122111121122212212111122221121111121222111112111122121221221111112121211212111111111122212AAAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Idaho                13   Child Nutrition Director                                                             Web  11111111221111111111111122111111111111112211111111111111111221111111111111121111111111122222222112121111221121111121222211I have the following PhD, RD, LD                   1122222                                                   1222211Human Nutrition                                    211222                                                   
Indiana              15   School Nutrition Program Coordinator                                                 Web  11111111111111211111111111111121111111111111112111111111111221111111111111221111112112211122122212121211112121111121222212                                                   2AAAAAA                                                   2AAAAAA                                                   221222                                                   
Georgia              11   Education and Wellness Specialist                                                    Web  122212112121211211121111211111111111111121111111111211211111112121111112212211111111111111211221121211111121221112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Oklahoma             37   Executive Director, Child Nutrition Programs                                         Web  11111111212221211111111111121111111111111111111121121111111221111111111111221111111111111111122111221111111121111121222212                                                   1122222                                                   1222122                                                   222222                                                   
Maine                20   Child Nutrition Services                                                             Web  112211112112122111121111111211211112111111121121111111111212211111222212112211121122112111211211121211111111212212AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Arizona              03   Director of School Health                                                            Web  21221111211211211111111121111111111111112111111111111111111221212111211221121122122112111111111111111111111221111121222212                                                   1222221health and fitness                                 2AAAAAA                                                   121212                                                   
Kansas               17   Director, Child Nutrition and Wellness                                               Web  11111111211111111111111121111111111111112111111111111111111111111111111111111111111111111112121111111111111111111121222112                                                   1122222                                                   1211112                                                   211222                                                   
Ohio                 36   Assistant Director, Child Nutrition                                                  Web  211112222222112211111221221211211111121121121121111111211112212111111111112212111222111111111111111111111111212212AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Vermont              46   Nutrition Program Coordinator                                                        Web  11111C11221111111111111112111111111111111111111111111111111221111111111111121211121111111322221211121111111222111121222122                                                   2AAAAAA                                                   2AAAAAA                                                   222221SDS from SNA                                       
Louisiana            19   Education Program Consultant                                                         Web  11111111211222211111111111112121111111112112211121122121111111211111111112221111112122211112122211221111111222111121222212                                                   2AAAAAA                                                   1222212                                                   221222                                                   
Illinois             14   Division Administrator                                                               Web  11111111221211111111112122121111111111212212111121111221211111111111111212221111112112222222222211221111111222111121122222                                                   1212222                                                   1122222                                                   222222                                                   
Washington           48   Director, Nutrition Services                                                         Web  22221221222222111222111122221111112212112111111111121122111221212121222211121222112211211121122211121111111122221121222112                                                   2AAAAAA                                                   1222212                                                   211222                                                   
Michigan             23   Nutrition Consultant                                                                 Web  111111112211112111111111221111211111111112111111111111111111112111111111111211211112111111212111121111111111211112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
