03Arizona                     0112              23.5000000 856050      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         122112122122112312211221221221123122112212212211232332AAAAAAAAAAAAAAA                                                                                                     1111112AAA1111111111111111111111111111111111111112AAAA11111111112111221111222212222222222222213332222112222111222A222222222A211111111112212A21112222212222AAAAAAAAAAAAAAAAAAAAA2333123331233313222AAAAAAAAAAAAAAA2AAAAAAAAAAAAAAAAAAA2AAAAAAAAAAAA312222222112312A211111111222212212212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22331111121131             412122222222                                                                                                     12222222122                                                                                                     122122222222                                                                                                     
03Arizona                     0185              23.5000000 863320      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         122222222122222312222222221222223122222222212222232331112221111212122                                                                                                     1111112AAA1111111111111111111111111111111111111112AAAA122222222221122222122222221333332222222122262222222222112C2A21AAA2222A222211C12222122A22222222222222AAAAAAAAAAAAAAAAAAAAA2222222222222222222AAAAAAAAAAAAAAA111111222222C222222221222222222222121322233331111111122222222222222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2C2212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
03Arizona                     0305              23.5000000 856170      4Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Superintendent/Head Teacher                                        Superintendent/Head Teacher                                        Superintendent/Head Teacher                                           Superintendent/Head Teacher                                            12221212212211C6AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2331222221212122211                                                                                                     1111121112111111111111111111111111111111111111111ACCCC1111111211233221111121111222222211111111222231111111112A212A21AAA21221221111111222222A22222222222222AAAAAAAAAAAAAAAAAAAAA11122131222322222212122121211111112AAAAAAAAAAAAAAAA2222CCCCCCCCCCCC3CC222AA32AA312A2CC111211111122222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22111111111111            2912212222222                                                                                                     12212222222                                                                                                     122212222222                                                                                                     
03Arizona                     0334              23.5000000 856050      4Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111112C2212222231111122C222222223AAAAAAAAAAAAAAAAA1331111211112222221                                                                                                     11111111121111111111111111111111111111111111111112AAAA1211211222231222221122221123232211111121CCC211111211211C121122CCC11121111111111112212A22222222222222AAAAAAAAAAAAAAAAAAAAA2222222222222222211CCCCCCCCCCCCCCC1111111111111111122212211132222111122222A111A12AAACC211111111112222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA21111121111221             212212222222                                                                                                     2AAAAAAAAAA                                                                                                     122122222222                                                                                                     
03Arizona                     1037              23.5000000 856170      4Paper (CMS UserID: 12)         Paper (CMS UserID: 12)         Paper (CMS UserID: 12)         Paper (CMS UserID: 12)         shpps                                                              shpps                                                              shpps                                                                 shpps                                                                  111112121122212611111C2121122212611111C212112221262332AAAAAAAAAAAAAAA                                                                                                     11112111111111112AAAA1111111111112AAAA1111112AAAA1211211111111111112121211111111222222111111113332121121122111111122222112211111111112221211112222122122213232332113323131321131112211122111221111111121111121111111121111121111111222121113122321312222221333212A221111221112212222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA222112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
03Arizona                     1067              23.5000000 856050      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22221221221221223CCC2AAAAAAAAAAAAAAA                                                                                                     1111112AAA111C111111122221111111111111111111111112AAAAA1111112112111AAAAAAAAAAAAC23323111111112234212211111111222A21AAA112212111222C1112222A2112222222C222AAAAAAAAAAAAAAAAAAAAA1311113111232223212AAAAAAAAAAAAAAA2AAAAAAAAAAAAAAAAAAACAAAAAAAAAAAA31213AA23AA13112212111221221122C22212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22331111111133             412112222221                                                                                                     12222222221 History                                                                                             122222222221 Ledershi                                                                                            
03Arizona                     1160              23.5000000 863320      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111122122122112612221221221221126AAAAAAAAAAAAAAAAA2221212222222222222                                                                                                     1111111111111111111111111112AAAA22AAAA111111111112AAAA1212111111233222221122212223222211111112AAA651111211212A112A21AAA1222A211111111111111111111112222222AAAAAAAAAAAAAAAAAAAAA12111121111211111111111111111111111111111111111111112111111121121111122322A111A3112222122111111112222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22221111111111             612212222222                                                                                                     2AAAAAAAAAA                                                                                                     122212222222                                                                                                     
04Arkansas                    0164              23.5000000 724340      4Web                            Web                            Web                            Web                            School Nurse                                                       School Nurse                                                       School Nurse                                                          School Nurse                                                           111112111112112611111121111121126211111211111211261332AAAAAAAAAAAAAAA                                                                                                     1111112AAA11111111111111111111111111111111111111111112111111111111121111111221122232331111111133331121111121111111222222222A121111111112112A2122122212211133321112123213121211213121232222222211111111111111112111111111111111111112211211131213113122222C2111112A222111211211111112211111111111111111111111111111222211122222222222211111221111112111111             112222122222                                                                                                     2AAAAAAAAAA                                                                                                     2AAAAAAAAAAA                                                                                                     
04Arkansas                    0400              14.7551692 718320      2Web                            Web                            Web                            Web                            School Nurse                                                       Superintendent                                                     Superintendent                                                        Superintendent                                                         121222222112112612122C2122CC2C12612122C2122CC211262332AAAAAAAAAAAAAAA                                                                                                     111111CCCC1111111111111111111111111111111111111111111111111111111111222211C12C22C13333211111112222212112112111222A21AAA2222A221111111221122A22222222222221311333331111113111111132212221122221212111111C1221111212AAAAAAAAAAAAAAAA222222222222C2212222CCCC11111CCCC22111CCCCCCCCCCC22C2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACC112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
04Arkansas                    0191              23.5000000 720400      4Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111112221111212311111121211112123111111212111121231332AAAAAAAAAAAAAAA                                                                                                     111111111111111111111111111111111111111111111111111222111111111111111111111111112333331111111111131121112121111111121111222A211111111111112A212212222211111322122211121132111121111122C11222113111111111112111121111111111211111211111111113122311111222C221C112AAA221112112111111121111111111111121111111111111CC1111111112222121121111113111112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
04Arkansas                    0230              14.7551692 716350      2Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Web                            Assistant Superintendent                                           Assistant Superintendent                                           Assistant Superintendent                                              Director Maintenance/Transportation/Facilities                         111112121112112611111221111111116111112211111111161331112212122122222                                                                                                     111111111111111111111111111111111111111111111111111112111111111111111111111111222222221111111112231111111111112212221111222A221122222222222A222222222222C2AAAAAAAAAAAAAAAAAAAAA222222222222222221111111111111111111111111111111111222211112222221222223222211112AAA221C11222222222222211111222222222222222222111112222112222222222222222222221112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
04Arkansas                    0254              14.7551692 718320      2Web                            Web                            Web                                                           Federal Program Coordinator                                        Facilities Manager                                                 Technology Coordinator                                                                                                                       111112121112111311111121211121113111111212111211132331111111111111111 Counity nd Civic Orgniztions                                                                        111111111111111111111111111111111111111111111111111112222111112211111111111111122222221111111133234121111121111211121111222A211111111112112A22221222222211222222222222212222222C111111111111111111112111122111111111121111211111112222122223222321212121112111311212211111111111111111111111111111111111111111111111111111111111111111111121111MMMMMMMMMM             MMMMMMMMMMMM                                                                                                     MMMMMMMMMMM                                                                                                     MMMMMMMMMMMM                                                                                                     
04Arkansas                    0256              14.7551692 716390      2Web                            N/A                            N/A                            N/A                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111112222112112611111121221121126111111212211211262332AAAAAAAAAAAAAAA                                                                                                     1111111122111111111111111221111C111111111111111112AAAA11111112222311111111111122232233CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC122223111311212211111122222222222111111111111112111111111111112221111222C22222222222222211CCCCCCCCCC             CCCCCCCCCCCC                                                                                                     CCCCCCCCCCC                                                                                                     CCCCCCCCCCCC                                                                                                     
04Arkansas                    0257              23.5000000 720400      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Media Specialist                                                      Nurse                                                                  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2331111112221122212                                                                                                     1111111111111111111111111111111111111111111111111A1222A1111112111112AAAAAAAAAAAA223333111112111223111111112111222A222222222A222211111222222A21222222222222AAAAAAAAAAAAAAAAAAAAA131111311113111111111111111111111111111111111111111112211111311212121123AAA2AAA3112222111222222222222221221211122222121222222111111222211112C22222222221221222112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
04Arkansas                    0459              23.5000000 720400      4Web                            N/A                            N/A                            N/A                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         122222122112112612222221221122126122221212211221262332AAAAAAAAAAAAAAA                                                                                                     1111112AAA1111111111111111111111111111111111111111112211111112111111121211122222233333CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC23222111132AAA22CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC             CCCCCCCCCCCC                                                                                                     CCCCCCCCCCC                                                                                                     CCCCCCCCCCCC                                                                                                     
04Arkansas                    0462              14.7551692 723420      2Web                            Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Director of Maintenance                                            Director of Maintenance                                            Director of Maintenance                                               Director of Maintenance                                                122221A2211211131112111A2211111131112111A2211111132132AAAAAAAAAAAAAAA                                                                                                     111111111111111111111111111C1111111111111111C11112AAAA11111111111111111111111122123233111212112122211112211111122A2222221222211111111111112A22222222222222AAAAAAAAAAAAAAAAAAAAA1111111111111113111111111111111111111111111111111112221111111111112322222221111111112211111111111111C22111111C1111111121112111111111111111111111111111111113111112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
04Arkansas                    0503              23.5000000 726280      4Web                            Web                            Web                            Web                            Assistant Superintendent                                           Assistant Superintendent                                           Assistant Superintendent                                              Assistant Superintendent                                               1111121221121126111112212111211261111122122112112623311122222222222C2                                                                                                     11111111111111111111111111111111111111111111111112AAAA12111111111111222211112121222222222221212116112222212111222A11AAA21222211111112221222A2122222222222111321323111111311111323331233312333122111111211121111111112212112111111122221211131223113122222221111112122111211112222222211111122211111211121121111111222211111221222222221111311111111111111             112222122222                                                                                                     2AAAAAAAAAA                                                                                                     2AAAAAAAAAAA                                                                                                     
04Arkansas                    0553              14.7551692 719010      2Paper (CMS UserID: 16)         Paper (CMS UserID: 16)         Paper (CMS UserID: 16)         Paper (CMS UserID: 16)         School Nurse                                                       School Nurse                                                       School Nurse                                                          School Nurse                                                           111112C2111211161111112121112111611111121211121216233121222221222222C                                                                                                     1111111111111111111111111111111111111111111111111111221111111111131111111111111122223311111111111CC1111111C11111111211111221111111111111111C11111111111111323222231221113112112132111321112111111111121111111111111111211111111111122211111211111111112111111132AAA111111111111111111111111111111111111111111111111111111111121111111111113111112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
04Arkansas                    0580              14.7551692 722010      2N/A                            Web                            N/A                            Web                            Coordinator of Health Services                                     Director of Maintenance and Operations                             Coordinator of Health Services                                        Coordinator of Health Services                                         CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC                                                                                                     CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC211CC11111325221111121111111221221122221111111111212121121112221C12131311112222231112C21211111111111111111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1111111111            13C2222122222                                                                                                     2AAAAAAAAAA                                                                                                     122222122222                                                                                                     
04Arkansas                    0624              23.5000000 724340      4Web                            Web                            Web                            Web                            High School Principal                                              High School Principal                                              Elementary School Principal                                           Elementary School Principal                                            111212122112112611121221221121126111212212211211262331222122222222222                                                                                                     11111111121111111111111111111111111111111121111122AAAA1221211222111122111122111C2CCCCC222212111CC25C2221212211C1CC122222222AC22211111CC2222A22222222222222AAAAAAAAAAAAAAAAAAAAA111111113112131CC111112111111111112AAAAAAAAAAAAAAAA111211111322212112222222111112AAA22111111211112222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA221112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
04Arkansas                    0951              23.5000000 724340      4Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         SHPPS                                                              SHPPS                                                              SHPPS                                                                 SHPPS                                                                  111112122122212611111221221222126111112212222221262332AAAAAAAAAAAAAAA                                                                                                     211111111111111111111111111111111111111111111111111112111111111111112212112222222122222121121122321111C1112111222A222222222A211111111222222A22222222222222AAAAAAAAAAAAAAAAAAAAA222222222222222221111111111111111111111111111111111112211111111131121222222111131111211112222222222222211111111111111111111111111112222111122222222222112223221112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
04Arkansas                    1031              14.7551692 718320      2Web                            Web                            Web                            Web                            Assistant Director of Special Education                            Assistant Director of Special Education                            School Security Officer                                               School Security Officer                                                122222121122111612222121211221116122222212112211162222AAAAAAAAAAAAAAA                                                                                                     1111111122111111111111111111111111111111111111C112AAAA111111111111112212111221222333332211122132362122C1C12111112A222222222A22222111C121122A2122222222211111232321111111323333C2C1212212122121111111121111111111111111111111111111112211111211112121211222211112AAA22111221222212222211111122212112212211121111113222211C122122222222212121221112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
