Minnesota              24 School Health Consultant                                         Web       1111111111111111111111111111111111111111111111111212222221111111111112111121122212122722221111122222121111221111111211111212212211212112112112221211   16  16 221222222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Colorado                6 School Nurse Consultant                                          Web       1112111212211211212212122212111121111212112221122212222222111111112112222122222222122522221212122221112222222222222211221222222222222222122211122222   49  49 22122222111221121Psychology                                         2AAA                                                   1212                                                   2121122                                              
Tennessee              43 State CSH Coordinator                                            Web       1111C11212111111111121121111111111111211112222221122222221111111111111111121112111111A11222112222222222122222112222222221211122122222222222111121111   79  18 212222222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Kentucky               18 School Nurse Consultant                                          Web       1111212112121211112121121212111111211212122121222212222221112221221122122112122212121A2122111212122122212122111121222122222222222222C222222212221111    C   C 2212222212AAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Virginia               47 Health Services Specialist                                       Web       1211211112122211112111121212111111111112111121122122222222111111111111111222121212122622211111121121111111111111111111112211211211122122121112221221    5   5 12222222111221122                                                   2AAA                                                   1122                                                   2121322                                              
North Dakota           35 Principle Investigator, Director                                 Web       2111211111121111112111111211211121111212112212221212222222111111111111111112222212122521222112222221112112221111111111111212222212222122122122221212    0   0 AAAAAAAA12AAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Alabama                 1 St. Nurse Consultant, School Health Serv                         Web       11112111111122111121111111111111211111C11C1111221122222222111111111111111111112112111A11111111111111111121111111111111111111112111111222122112211111    C   C CCCCCCCC111221122                                                   2AAA                                                   1122                                                   2122321research nurse coordinator                    
Pennsylvania           39 Chief, Division of School Health                                 Web       2112222212221221112111111112211121111111111112221122222222121211111122121222222111122521221112121122222221111111111112121211221211222212112111121111    C   C CCCCCCCC112121122                                                   1221School Nurse Certificate                           1122                                                   C112122                                              
Alaska                  2 School Health Nurse Consultant                                   Web       2221211211212211112111112122211121111111111111122212222222111121111112122121222211112522222112121121112122111111111221111211222211112211212121121112    4   3 21222222112121122                                                   2AAA                                                   2AAA                                                   2121222                                              
Delaware                8 Director of School Support Services                              Web       22112111121222211122111112221111211C111111111111112222222111C111C12C111111111222121228A122121111222222222111222121121222222221CC21122122122122222111   28  28 12222222111221122                                                   2AAA                                                   1212                                                   2121121Administrator                                 
Utah                   45 Health Educator                                                  Web       1111111111111111111111111111111111111111112221121122222221221121221111211222222111112422222112121222221121222222222211222222222222222222222221122211    4   5 22122222111221121MBA                                                1221Spanish                                            1122                                                   C1C2112                                              
Hawaii                 12 State Educational Specialist                                     Web       2222222222221221222222222212212222222222121221222122222222111112122111121222222112121A21222222222222222222222222222222222222222222222222222222211222    2   0 222221222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
New Jersey             31 Coordinator, Coordinated School Health                           Web       1111212211221121112112112221111122111122112222222212222221222222112121222212122212112421222222222212222222222222222222222222222222222222222222222222   19  19 221222222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Texas                  44 State School Nurse Consultant                                    Web       C11121C112221121112111121111111111111111111121111212222221131111111112112122222211122C21221111111121212121111111111111221111122121112222112111112111   85   C 12222222112121122                                                   2AAA                                                   1122                                                   2122321Pediatrics                                    
South Dakota           42 Co-Director, Coordinated School Health                           Web       1222222222222211222222121122111111111211211212221212222221111121111112122112222211112221111111222221111112212111111211122221122212212212112111111121    6   C 21222222112121212                                                   1212                                                   1212                                                   2222222                                              
Rhode Island           40 Project Manager, School Health Specialis                         Web       2112222222222221112222222222111111221112121221221122222221333311112122122122222212121A21222222222221112111111111111212122212222222211112122122212221    C   C CCCCCCCC111221212                                                   2AAA                                                   1212                                                   C222222                                              
Maryland               21 Health Services Specialist                                       Web       1111111112111111111111121111111111111111111111111212222222111111111111111111111112112721221111111111112121111111111111111111111111111122112112211111   67  67 12222222111221121Biology                                            2AAA                                                   1122                                                   2122322                                              
Idaho                  13 Coordinator of Nursing Services                                  Web       1222222222222212212112122222112212221222212221221122222221111121222112222222222212112321222212222222222222222111111222222222222222222222222222221221    0   0 AAAAAAAA2AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Indiana                15 School Health Services Specialist                                Web       111111111111111111111111111111111111111111111111112222222211111111111111111111221211C511221111111121112111111111111111111211121111122112112111121111    C   C 12222222111221122                                                   1122                                                   1122                                                   2122122                                              
Georgia                11 Program Manager, Safe and Drug Free Schools                      Web       22212112222112122121C2222122122111122221221222222212222222111111222111112211222222121A21222222222222222122112112111222222112222121222222222211121121    C   C 212222222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Maine                  20 School Nurse Consultant                                          Web       1111211112111111112111121111111121111211111112112122222222111111111111121112122111111A21221111111111112121111111111111111111211111112111122111121111   16  13 12222222111221112                                                   1221Community Health                                   1221Masters in Public Health                           2122122                                              
Oklahoma               37 School Health Coordinator                                        Web       1111211212122211112112121212111121111212111221221122222221122111211112111122222112112422222212122222222222222122222212222212222222222222222112222211    3   0 212222222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Arizona                 3 Director of School Health                                        Web       1111112112111111111111121111111112211211111222221122222221111111111111111111112112112721221211111121112121112111111111212121112111112222222112221111   41  41 2222212212AAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Kansas                 17 Adolescent and School Health Consultant                          Web       1111121111121211111212111212111111111111111121111212222221111111112111121122112111122521111111111121111121111111111111111211211111111122111112111111    0   0 AAAAAAAA112121122                                                   1221Psychology                                         1221Health Care Admin.                                 2122321Adv.Youth Dev. Trainer; Public Health Cerif.; 
Ohio                   36 Program Administrator, School and Adolescent Health              Web       1211222212111222212222121112111111111111111111221212222221111111111111111111112211122522221111111121112221222221221211221111222221222222112111122211   14   C 21222222112121122                                                   2AAA                                                   1122                                                   2121122                                              
Vermont                46 School Health Services Coordinator                               Web       21112111121211211121111212112111211112121121112212122222221111111121121111222221121228A2221111112212122221212221111111122221122221212112122222222111    8   8 221222222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Louisiana              19 Education Program Consultant                                     Web       CCCCCCCCCCCCCC121121121221121211212212121222212212122222211111112121122212222222121226222212222222222222222211111222111212C2222222212222122222211211   60  60 122222222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Illinois               14 School Health Program Coordinator                                Web       111111211112111111212C11121111112121111211122112121222222233131111C11211112112221111252112C111111121112121122112212211212212222222122122112122221111   58  44 12222222112211122                                                   1221psychology                                         1122                                                   C1C1122                                              
Washington             48 Program Supervisor, Coordinated School Health                    Web       1111111112121111111111121211111111111211111111111122222221111111112111111111111112122321111111111121111111111111111111111111111111111111111111211111   21  21 122222222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
