03Arizona                1029             18.9086640 852820  1Paper (CMS UserID: 12)      shpps                                                                    1121111111222111111211112111121AAAAAAAA111343AA1112211212111111112222221111132112112211111112111111111112211121221111111222AAA2AA2AAA11122111112222222221222211111122111112221212211C1211121                                                                                                     212112211112111111122222212222222C111122222222222122222222222221122211221    0    0  AAAAAAA121112222211121111111212222222222222212AAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
03Arizona                1037             26.2937063 856170  4Paper (CMS UserID: 12)      shpps                                                                    122111111112212112121121211112212111122111343AA112221121211111221122222231123222222222222232211111111221228A221111111111122AAA2AA2AAA1112221121222222222222222211222221112222212222122112121                                                                                                     1222222111222212222222222222222222222222211222222112222222221221122212221    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
03Arizona                1047             15.3644956 856310  2Web                         Director                                                                 112111111111212AAAAAAAAAAAAAAAAAAAAAAAA111AA3AA11122112121121122122222222112111121211111111211111111112121A11211111111111111212AA2AAA11122112112111AAAA2221121212112212222222122121121111124                                                                                                     2122111111111111112122212112221221121122221122222122222222211221222112111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     4112                                                                                                      2CCC                                                                                                     1222212                                                                                                     2122122                                                                                                                                                                                                         
03Arizona                1067             26.2937063 856050  4Web                         Administrative Assistant                                                 112112212111211AAAAAAAAAAAAAAAA21111122222AA3AA222221122221111112212222211122122222212111111111111111111228A222222111111112AAA2AA2AAA1112222221222222222122222211222211111222212222222222224 n/                                                                                                  1111221111122222222222222221222222112222111211222212222222222221122312222    1    1  22222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
03Arizona                1160             26.2937063 863320  4Web                         Superintendent                                                           1111111111112222222222122222221AAAAAAAA111113A21221211111C1211111222222233C132222222222121222111111111112212112221111111112AAA2AA2AAA1111111111222222222222222212222222112222222222222222224 no nurse t this district.                                                                           2222222222222222222222222222222222222222222222222C22222222222222221211111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
04Arkansas               0164             26.2937063 724340  4Web                         School Nurse                                                             1121111C1111112111121121211122212111222111343AA12122111111121122122222121113311111111111111122AAAAAAAA2111A2121111111111112AAA1122AAA1112221111122222222222222112222222211222221222111111224                                                                                                     1122222111111111112222222122222211112111112222222222222221211111222112111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     2122                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     1122222                                                                                                                                                                                                         
04Arkansas               0400             15.3644956 718320  2Web                         School Nurse                                                             12211111111C1C211112112121112221211122211C343AA1112212C1CC131313CCCCCCCCCCCCC2222C2222212112211111111C1111A2112222111111112AAA1122AAA11C2221111122222222222222CCCCCCCCCCCCCCCCCCCCCCCCCCCCC1                                                                                                     11222222111222122222222222222222222C2222222222222222222222221111222112222    C    C  CCCCCCCC221C12222222112222122222222222222222CC122                                                                                                     2122                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     212222C                                                                                                                                                                                                         
04Arkansas               0230             15.3644956 716350  2Web                         Director                                                                 111111111111112111111121111122211111222111343AA11222111111131313112222121211321112212111222111111111121121A1122111111211122AAA1122AAA1C112111112222222222222211121122C1112222112221211111124 LPN                                                                                                 1223212111112111112222222222222212112222221222222222222221221111222312221    0    0  AAAAAAA122111222222212221112222222222221111211122                                                                                                     4212                                                                                                      1CCC                                                                                                     2222212                                                                                                     2222221                                                                                                     Teching certifiction                                                                                
04Arkansas               0257             26.2937063 720400  4Web                         Nurse                                                                    122111111112112AAAAAAAAAAAAAAAAAAAAAAAA112AA3AA1C1221122222211221222222211111212121222111222211111112221128A221222111211122AAA1122AAA11122112222222AAAA222222122211221111222211222222222122C                                                                                                     1122212211211112112222222111111211111111222111111122222221211111222212111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
04Arkansas               0462             15.3644956 723420  2Web                         School Nurse                                                             112111111112122112221121211122212111222111343AA1212211212122112211222221111112112222121112112111111111111242122222112111212AAA12211111112C11111212222222222222212112222212222122222222211121                                                                                                     C112212211222111112222222122222221111111221112212121222221211121222112222    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
04Arkansas               0503             26.2937063 726280  4Web                         Assistant Superintendent                                                 112111121112112111121121111122211111222212343AA11222112222121122112222211111322222222221121222AAAAAAAA2111A2112222112111212AAA1122AAA2211222222222222222222222222222211222222112221111221224                                                                                                     121211111111211222211122212211111C12111C222111221122222222211111122212211    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     3122                                                                                                      2CCC                                                                                                     AAAAAAA                                                                                                     2122221                                                                                                     BLS,ACLS,NRP,PALS,TNCC                                                                              
04Arkansas               0553             15.3644956 719010  2Paper (CMS UserID: 16)      School Nurse                                                             112111111112112111121121211122212112222111343AA11122112121111122122222221111211111111111111111111111121111A1111111111111112AAA1112AAA1111211111112211221111111111111111111111112111111111121                                                                                                     2122122111111111111111111111111111111111111111111111111111111111222111111    4   13  1121222122111122112112111111222112111111111111122                                                                                                     3122                                                                                                      2CCC                                                                                                     AAAAAAA                                                                                                     2122222                                                                                                                                                                                                         
04Arkansas               0580             15.3644956 722010  2Web                         Coordinator of Health Services                                           122111111111122111121121212122212121222111343AA11111111122111122112222222113311221221211121221111111111112711211111111111111111112AAA1111111112112112221111111111111111111111112211111111111                                                                                                     212311221111111111212212211C111111111111111111111112221112211111222112111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     4122                                                                                                      2CCC                                                                                                     1222222                                                                                                     2121222                                                                                                                                                                                                         
04Arkansas               0624             26.2937063 724340  4Web                         School Nurse                                                             111111111111112111211121111112211111122112112A511222112121111111112222211112111111212211111121111111111111A1111111111111112AAA1122AAA1111211111122212221122211111112211111112112221111211121                                                                                                     21221121111211111112222121111111111211112221121221122C2212211111222112121    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     2122                                                                                                      AAAA                                                                                                     AAAAAAA                                                                                                     C1C2222                                                                                                                                                                                                         
04Arkansas               0951             26.2937063 724340  4Paper (CMS UserID: 10)      SHPPS                                                                    111111111111112111121121211122212111222111343AA11222112121122112122222221112221112121211121121111111121111A1121111111111212AAA1122AAA111221111122222CC22222211111221111112222222222222221223                                                                                                     2111122111111211112111111121111111111111111111111111122222211111122111221    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     2122                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     1122212                                                                                                                                                                                                         
04Arkansas               1031             15.3644956 718320  2Web                         Nurse                                                                    112111111111112111121121211122212111222111343AA1112C112121111322112222211111311111111111111111111111111111A1111111111111112AAA1112AAA1112111111122221222121211111111111111222111222211111114 LICENCED PRACTICAL NURSE                                                                            1222112211111111112222222122212212221122111222C22221222212221C11222111111    0    0  AAAAAAA1C2221122222211222212222222222222122212AAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
05California             0018             15.3644956 932470  2Paper (CMS UserID: 12)      shpps                                                                    1C1111111112212C1111112CCCC1CC2CCC1CCCCCCC123A5122221122221313232212222233333222222222212CC221111111111121A1121C22111111112AAA2AA2AAA1112221111222222222221122222212222222222222222222211124                                                                                                     22C322222222222222222222222222222222222222222222222222222222222CCCC112111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11221 office eduction                                                                                     3122                                                                                                      2CCC                                                                                                     AAAAAAA                                                                                                     C1C2C21                                                                                                     School Nurse Credentil                                                                              
05California             0033             18.9086640 945090  1Web                         Director, Special Education                                              111111111111111111111111C11111111111111111121C2122121111221111122122222211222C112111C22111111C111111111111A11111111111111111111221111111111111C11111112C222C22212111111111212212111111111113                                                                                                     C21122221C111111111222222222222222222222222111222222222222221221C21111111    0    0  AAAAAAA1221222222222112221222222222C22222C2212AAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
05California             0099             15.3644956 902120  2Web                         Director Ed. Services                                                    111111111111112111111222112122211121222111113A522222112121112222122222221112211221221111222221111111111111A11111111121112111211112AAA1112211111212212221121111112111111222222111222222111124 Degree nd RN License                                                                                2121111111122111112222222211222222221222121222122222222222211221222111111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     5212                                                                                                      1CCC                                                                                                     2222212                                                                                                     2222222                                                                                                                                                                                                         
05California             0104             26.2937063 959700  4Web                         Counselor                                                                C1111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC                                                                                                     CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC    C    C  CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC                                                                                                     CCCC                                                                                                      CCCC                                                                                                     CCCCCCC                                                                                                     CCCCCCC                                                                                                                                                                                                         
05California             0130             15.3644956 932470  2Web                         Registered Nurse Coordinator                                             121111112111212111121121211122212111222111323A1111111121211111111122222111111111212111112222211111111111C1A11C111C1111111111C1CCCCCCC1C12CC11CCCCCC2222CCC11C111CCCCCCCCCCCCCCCCCCCCCCC1C1C4                                                                                                     2121C22222222222CCCCCCCCCCCCC11CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1222311CCC    0    C  CCCCCCC2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     3122                                                                                                      2AAA                                                                                                     AAAAAAA                                                                                                     2122122                                                                                                                                                                                                         
05California             0161             15.3644956 960070  2Web                         Nurse                                                                    1211111111112121111211212111122AAAAAAAA111343AA22222112121111122122222122211211122211111112221111111111121A11211111111111111112AA11111112211111212222222222212212112211111222111221211211113                                                                                                     1112122211111111112122222111222111211111212111222112221211211221122112222    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
