Date, Title, Note, Hyperlink, Espanol, NIOSH Number, NTIS Number, Other Number, Category
May 2016,"Improving Workers&#39; Health Across the Globe: Advancing the Global Plan of Action for Workers&#39; Health","",https://www.cdc.gov/niosh/docs/2016-118/,,2016-118,,,
Apr 2016,"Bibliography of Communication and Research Products 2015","",https://www.cdc.gov/niosh/docs/2016-115/,,2016-115,,,
Apr 2016,"National Occupational Research Agenda (NORA), National Total Worker Health® Agenda (2016-2026): A national agenda to advance Total Worker Health® research, practice, policy, and capacity","",https://www.cdc.gov/niosh/docs/2016-114/,,2016-114,PB2016-103265,,
Apr 2016,"Assessment of Safety in the Bering Sea/Aleutian Island Crab Fleet","",https://www.cdc.gov/niosh/docs/2016-112/,,2016-112,PB2016-103224,,
Mar 2016,"SPIROLA: Spirometry Longitudinal Data Analysis Software (Fact Sheet)","",https://www.cdc.gov/niosh/docs/2016-117/,,2016-117,,,Fact Sheet
Mar 2016,"Older Drivers in the Workplace: How Employers and Workers Can Prevent Crashes","",https://www.cdc.gov/niosh/docs/2016-116/,,2016-116,PB2016-102638,,Fact Sheet
Mar 2016,"Preparedness through Daily Practice: The Myths of Respiratory Protection in Healthcare","",https://www.cdc.gov/niosh/docs/wp-solutions/2016-109/,,2016-109,PB2016-102637,,Workplace Solutions
Mar 2016,"Building a Safety Program to Protect the Nanotechnology Workforce: A Guide for Small to Medium-Sized Enterprises","",https://www.cdc.gov/niosh/docs/2016-102/,,2016-102,PB2016-103223,,
Feb 2016,"Fatality Assessment and Control Evaluation Program Brochure","Supersedes 2003-146",https://www.cdc.gov/niosh/docs/2016-113/,,2016-113,,,
Feb 2016,"NIOSH-OSHA Hazard Alert: Health and Safety Risks for Workers Involved in Manual Tank Gauging and Sampling at Oil and Gas Extraction Sites","",https://www.cdc.gov/niosh/docs/2016-108/,,2016-108,PB2016-101957,,Alert
Feb 2016,"Use of Aftermarket Replacement Component Parts for NIOSH-Approved Respirators","",https://www.cdc.gov/niosh/docs/2016-107/,,2016-107,,,Fact Sheet
Feb 2016,"Criteria for a Recommended Standard: Occupational Exposure to Heat and Hot Environments","",https://www.cdc.gov/niosh/docs/2016-106/,,2016-106,PB2016-101956,,Criteria
Dec 2015,"Reducing Winch Entanglements with Auxiliary-stop Device","",https://www.cdc.gov/niosh/docs/2016-105/,,2016-105,,,
Dec 2015,"Reducing Winch Entanglements with Stationary Guarding","",https://www.cdc.gov/niosh/docs/2016-104/,,2016-104,,,
Dec 2015,"Buy Quiet - For Manufacturers","",https://www.cdc.gov/niosh/docs/video/2016-103/,,2016-103,,,
Nov 2015,"Safety Advisory: Translucent Corrugated Roof Panels May Contribute to Increased Fall Risk during Roof Operations","",https://www.cdc.gov/niosh/docs/2016-110/,,2016-110,,,
Nov 2015,"Preventing Hazardous Noise and Hearing Loss during Project Design and Operation","",https://www.cdc.gov/niosh/docs/2016-101/,,2016-101,,,Workplace Solutions
Oct 2015,"Safety Matters: A Safety & Health Training for Young Workers","",https://www.cdc.gov/niosh/docs/2016-100/,,2016-100,PB2016-100065,,
Sep 2015,"Oil and Gas Extraction Worker Fatalities, 2014 Mid-Year Report: January 1, 2014-June 30, 2014","",https://www.cdc.gov/niosh/docs/2015-239/,,2015-239,PB2016-100064,,
Sep 2015,"NIOSH Skin Notation Profiles: Azinphos-methyl","",https://www.cdc.gov/niosh/docs/2015-235,,2015-235,PB2016-100640,,
Sep 2015,"NIOSH Skin Notation Profiles: Nicotine","",https://www.cdc.gov/niosh/docs/2015-234,,2015-234,PB2016-100079,,
Sep 2015,"NIOSH Skin Notation Profiles: Endrin","",https://www.cdc.gov/niosh/docs/2015-233,,2015-233,PB2016-100078,,
Sep 2015,"NIOSH Skin Notation Profiles: Parathion","",https://www.cdc.gov/niosh/docs/2015-232,,2015-232,PB2016-100077,,
Sep 2015,"NIOSH Skin Notation Profiles: Methyl Parathion","",https://www.cdc.gov/niosh/docs/2015-231,,2015-231,PB2016-100076,,
Sep 2015,"NIOSH Skin Notation Profiles: Phorate","",https://www.cdc.gov/niosh/docs/2015-230,,2015-230,PB2016-100075,,
Sep 2015,"NIOSH Skin Notation Profiles: Chlordane and Technical Grade Chlordane","",https://www.cdc.gov/niosh/docs/2015-229,,2015-229,PB2016-100074,,
Sep 2015,"NIOSH Skin Notation Profiles: Tetraethyl pyrophosphate (TEPP)","",https://www.cdc.gov/niosh/docs/2015-228,,2015-228,PB2016-104193,,
Sep 2015,"NIOSH Skin Notation Profiles: Tetraethyl dithionopyrophosphate (TEDP)","",https://www.cdc.gov/niosh/docs/2015-227,,2015-227,PB2016-104192,,
Sep 2015,"NIOSH Skin Notation Profiles: Phosdrin","",https://www.cdc.gov/niosh/docs/2015-226,,2015-226,PB2016-104191,,
Aug 2015,"Fleet Safety Fact Sheet: Freezer Longliners","",https://www.cdc.gov/niosh/docs/2015-238/,,2015-238,,,Fact Sheet
Aug 2015,"Fleet Safety Fact Sheet: Amendment 80 Factory Trawlers","",https://www.cdc.gov/niosh/docs/2015-237/,,2015-237,,,Fact Sheet
Aug 2015,"Occupational Health Safety Network (OHSN) Brochure","",https://www.cdc.gov/niosh/docs/2015-236/,,2015-236,,,
Aug 2015,"Interactive BG 4 Training Software Reinforces Skills for Benching Mine Rescue Breathing Apparatus","",https://www.cdc.gov/niosh/mining/Works/coversheet1893.html,,2015-225,,TN 553,Mining
Aug 2015,"Poster de Trabajadora Hotelera","",,https://www.cdc.gov/spanish/niosh/docs/protejase/default.html,2015-224,,,
Aug 2015,"Poster de Construcci&oacute;n","",,https://www.cdc.gov/spanish/niosh/docs/protejase/default.html,2015-222,,,
Aug 2015,"Salud y seguridad en el trabajo: Estrategias para la prevenci&oacute;n","",,https://www.cdc.gov/spanish/niosh/docs/protejase/default.html,2015-220,,,
Aug 2015,"Construcci&oacute;n","",,https://www.cdc.gov/spanish/niosh/docs/protejase/default.html,2015-218,,,
Aug 2015,"Trabajadores hoteleros","",,https://www.cdc.gov/spanish/niosh/docs/protejase/default.html,2015-216,,,
Aug 2015,"Salud y seguridad en el trabajo: Orientaci&oacute;n General","",,https://www.cdc.gov/spanish/niosh/docs/protejase/default.html,2015-214,,,
Aug 2015,"Techador","",,https://www.cdc.gov/spanish/niosh/topics/protejase/educational.html,2015-212,,,
Aug 2015,"Acoso Sexual","",,https://www.cdc.gov/spanish/niosh/topics/protejase/educational.html,2015-210,,,
Aug 2015,"Fabrica de Costura","",,https://www.cdc.gov/spanish/niosh/topics/protejase/educational.html,2015-208,,,
Aug 2015,"Comida Rapida","",,https://www.cdc.gov/spanish/niosh/topics/protejase/educational.html,2015-206,,,
Aug 2015,"Procesadora de Carnes y Pollo","",,https://www.cdc.gov/spanish/niosh/topics/protejase/educational.html,2015-204,,,
Aug 2015,"Using Total Worker Health&trade; Concepts to Enhance Workplace Tobacco Prevention and Control","",https://www.cdc.gov/niosh/docs/wp-solutions/2015-202/,,2015-202,PB2016-100008,,Workplace Solutions
Aug 2015,"Reducing Musculoskeletal Disorders among Airport Baggage Screeners and Handlers","",https://www.cdc.gov/niosh/docs/wp-solutions/2015-201/,,2015-201,PB2016-100007,,Workplace Solutions
Aug 2015,"Reducing Hazardous Dust Exposure When Dowel Drilling in Concrete","",https://www.cdc.gov/niosh/docs/wp-solutions/2015-200/,,2015-200,PB2016-100006,,Workplace Solutions
Aug 2015,"Supporting Prevention through Design (PtD) Using Business Value Concepts","",https://www.cdc.gov/niosh/docs/wp-solutions/2015-198/,,2015-198,PB2016-100005,,Workplace Solutions
Jul 2015,"Best Practices: Engineering Controls, Work Practices, and Exposure Monitoring for Occupational Exposures to Diacetyl and 2,3-Pentanedione","",https://www.cdc.gov/niosh/docs/2015-197/,,2015-197,PB2015-105638,,
Jul 2015,"NIOSH Skin Notation Profiles: Dinitro-o-cresol","",https://www.cdc.gov/niosh/docs/2015-195/,,2015-195,PB2016-100645,,
Jul 2015,"NIOSH Skin Notation Profiles: Dieldrin","",https://www.cdc.gov/niosh/docs/2015-194/,,2015-194,PB2016-100644,,
Jul 2015,"NIOSH Skin Notation Profile: Captafol","",https://www.cdc.gov/niosh/docs/2015-193/,,2015-193,PB2016-100643,,
Jul 2015,"NIOSH Skin Notation Profiles: Aniline","",https://www.cdc.gov/niosh/docs/2015-192/,,2015-192,PB2016-100642,,
Jul 2015,"NIOSH Skin Notation Profiles: Aldrin","",https://www.cdc.gov/niosh/docs/2015-191/,,2015-191,PB2016-100641,,
Jul 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Miami-Dade County","",https://www.cdc.gov/niosh/talkingsafety/states/mia/2015-125/,,2015-125,,,
Jun 2015,"NIOSH Extramural Research and Training Program<br />Annual Report of Fiscal Year 2013","",https://www.cdc.gov/niosh/docs/2015-196/,,2015-196,PB2015-105194,,
Jun 2015,"NIOSH-Funded Program and Stakeholders Work to Prevent Falls from Temporary Wooden Platforms on Bridge Decks","",https://www.cdc.gov/niosh/docs/2015-190/,,2015-190,,,Impact
Jun 2015,"BG 4 Benching Trainer Software","",https://www.cdc.gov/niosh/mining/Works/coversheet1877.html,,2015-189c,,,Mining
Jun 2015,"Enhancing Mine Workers&#39; Self-escape by Integrating Competency Assessment into Training","",https://www.cdc.gov/niosh/mining/Works/coversheet1890.html,,2015-188,PB2016-100004,RI 9699,Mining
Jun 2015,"NIOSH-Funded State FACE Investigation Leads to Safer Handicapped-Accessible Accelerator Pedals","",https://www.cdc.gov/niosh/docs/2015-186/,,2015-186,,,Impact
Jun 2015,"Reducing Hazardous Dust Exposure When Cutting Fiber-Cement Siding","",https://www.cdc.gov/niosh/docs/wp-solutions/2015-185/,,2015-185,PB2015-105150,,Workplace Solutions
Jun 2015,"Reducing the Risk of Hearing Disorders among Musicians","",https://www.cdc.gov/niosh/docs/wp-solutions/2015-184/,,2015-184,PB2015-105149,,Workplace Solutions
Jun 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Rhode Island","",https://www.cdc.gov/niosh/talkingsafety/states/RI/2015-174/,,2015-174,,,
May 2015,"Anthrax surface sampling instructor guide","",https://www.cdc.gov/niosh/topics/anthrax/files/508-instructorguidefinal09.30.2014.pdf,,2015-187,PB2016-100059,,
May 2015,"NIOSH Research Improves Equipment Design to Protect Firefighters","",https://www.cdc.gov/niosh/docs/2015-183/,,2015-183,,,Impact
May 2015,"NIOSH-funded Program Results in Change to State Policy and Better Methods to Protect Agricultural Workers","",https://www.cdc.gov/niosh/docs/2015-182/,,2015-182,,,Impact
May 2015,"Measuring How Well Earplugs Work","",https://www.cdc.gov/niosh/docs/2015-181/,,2015-181,,,Impact
May 2015,"PFDs That Work: Dungeness Crabbers","",https://www.cdc.gov/niosh/docs/2015-180/,,2015-180,,,Fact Sheet
May 2015,"Traumatic Occupational Injury Research Labs - Division of Safety Research","",https://www.cdc.gov/niosh/docs/2015-179/,,2015-179,,,
May 2015,"Overlapping Vulnerabilities: The Occupational Health and Safety of Young Immigrant Workers in Small Construction Firms","",https://www.cdc.gov/niosh/docs/2015-178/,,2015-178,PB2015-104882,,
May 2015,"Hospital Respiratory Protection Program Toolkit","",https://www.cdc.gov/niosh/docs/2015-117/,,2015-117,PB2015-104881,,
May 2015,"NIOSH Training for Nurses on Shift Work and Long Work Hours","",https://www.cdc.gov/niosh/docs/2015-115/,,2015-115,,,
Apr 2015,"Anthropometric Study of U.S. Truck Drivers: Methods, Summary Statistics, and Multivariate Accommodation Models","",https://www.cdc.gov/niosh/docs/2015-116/,,2015-116,PB2015-104131,,
Apr 2015,"Facilitating the Use of Built-in-place Refuge Alternatives in Mines","",https://www.cdc.gov/niosh/mining/Works/coversheet1886.html,,2015-114,,RI 9698,Mining
Apr 2015,"Current Intelligence Bulletin 67: Promoting Health and Preventing Disease and Injury Through Workplace Tobacco Policies","",https://www.cdc.gov/niosh/docs/2015-113/,,2015-113,PB2015-10413,,CIB
Apr 2015,"Bibliography of Communication and Research Products 2014","",https://www.cdc.gov/niosh/docs/2015-112/,,2015-112,PB2015-104129,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for U.S. Virgin Islands","",https://www.cdc.gov/niosh/talkingsafety/states/USVI/2015-171/,,2015-171,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Puerto Rico","",https://www.cdc.gov/niosh/talkingsafety/states/PR/2015-170/,,2015-170,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for District of Columbia","",https://www.cdc.gov/niosh/talkingsafety/states/DC/2015-169/,,2015-169,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Oklahoma","",https://www.cdc.gov/niosh/talkingsafety/states/OK/2015-168/,,2015-168,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Mississippi","",https://www.cdc.gov/niosh/talkingsafety/states/MS/2015-166/,,2015-166,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Wisconsin","",https://www.cdc.gov/niosh/talkingsafety/states/WI/2015-164/,,2015-164,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for West Virginia","",https://www.cdc.gov/niosh/talkingsafety/states/WV/2015-163/,,2015-163,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Washington","",https://www.cdc.gov/niosh/talkingsafety/states/WA/2015-162/,,2015-162,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Vermont","",https://www.cdc.gov/niosh/talkingsafety/states/VT/2015-160/,,2015-160,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Tennessee","",https://www.cdc.gov/niosh/talkingsafety/states/TN/2015-157/,,2015-157,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for South Dakota","",https://www.cdc.gov/niosh/talkingsafety/states/SD/2015-156/,,2015-156,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Pennsylvania","",https://www.cdc.gov/niosh/talkingsafety/states/PA/2015-154/,,2015-154,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Oregon","",https://www.cdc.gov/niosh/talkingsafety/states/OR/2015-153/,,2015-153,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Ohio","",https://www.cdc.gov/niosh/talkingsafety/states/OH/2015-152/,,2015-152,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for North Carolina","",https://www.cdc.gov/niosh/talkingsafety/states/NC/2015-150/,,2015-150,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Michigan","",https://www.cdc.gov/niosh/talkingsafety/states/MI/2015-142/,,2015-142,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Maryland","",https://www.cdc.gov/niosh/talkingsafety/states/MD/2015-141/,,2015-141,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for New York","",https://www.cdc.gov/niosh/talkingsafety/states/NY/2015-138/,,2015-138,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Colorado","",https://www.cdc.gov/niosh/talkingsafety/states/co/2015-129/,,2015-129,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Indiana","",https://www.cdc.gov/niosh/talkingsafety/states/IN/2015-128/,,2015-128,,,
Mar 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Florida","",https://www.cdc.gov/niosh/talkingsafety/states/fl/2015-124/,,2015-124,,,
Mar 2015,"Preventing work-related motor vehicle crashes","",https://www.cdc.gov/niosh/docs/2015-111/,,2015-111,,,
Mar 2015,"Shotcrete Design and Installation Compliance Testing: Early Strength, Load Capacity,Toughness, Adhesion Strength, and Applied Quality","",https://www.cdc.gov/niosh/mining/Works/coversheet1887.html,,2015-107,PB2015-104880,RI 9697,Mining
Mar 2015,"Best Practice Engineering Control Guidelines to Control Worker Exposure to Respirable Crystalline Silica during Asphalt Pavement Milling","",https://www.cdc.gov/niosh/docs/2015-105/,,2015-105,PB2015-104128,,
Mar 2015,"Recommended Practices: Green Tobacco Sickness","",https://www.cdc.gov/niosh/docs/2015-104/,,2015-104,PB2015-104127,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Montana","",https://www.cdc.gov/niosh/talkingsafety/states/MT/2015-167/,,2015-167,,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Wyoming","",https://www.cdc.gov/niosh/talkingsafety/states/WY/2015-165/,,2015-165,,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Virginia","",https://www.cdc.gov/niosh/talkingsafety/states/VA/2015-161/,,2015-161,,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for North Dakota","",https://www.cdc.gov/niosh/talkingsafety/states/ND/2015-151/,,2015-151,,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for New Jersey","",https://www.cdc.gov/niosh/talkingsafety/states/NJ/2015-148/,,2015-148,,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for New Hampshire","",https://www.cdc.gov/niosh/talkingsafety/states/NH/2015-147/,,2015-147,,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Nevada","",https://www.cdc.gov/niosh/talkingsafety/states/NV/2015-146/,,2015-146,,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Minnesota","",https://www.cdc.gov/niosh/talkingsafety/states/MN/2015-143/,,2015-143,,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Maine","",https://www.cdc.gov/niosh/talkingsafety/states/ME/2015-135/,,2015-135,,,
Feb 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Hawaii","",https://www.cdc.gov/niosh/talkingsafety/states/HI/2015-131/,,2015-131,,,
Feb 2015,"Talking Safety - Giving youth work readiness skills to keep them safe and healthy","",https://www.cdc.gov/niosh/docs/2015-110/,,2015-110,,,
Feb 2015,"Take Charge of Your Safety In and Around Your Patrol Vehicle","",https://www.cdc.gov/niosh/docs/2015-109/,,2015-109,,,
Feb 2015,"Opportunities for Employers To Create a Safer and Healthier Workforce","",https://www.cdc.gov/niosh/docs/2015-108/,,2015-108,,,
Feb 2015,"OSHA/NIOSH Hazard Alert: Worker Exposure to Silica during Countertop Manufacturing, Finishing and Installation","",https://www.cdc.gov/niosh/docs/2015-106/,,2015-106,PB2016-100063,,Alert
Jan 2015,"NIOSH Youth@Work-Talking Safety Curriculum for California","",https://www.cdc.gov/niosh/talkingsafety/states/CA/2015-173/,,2015-173,,,
Jan 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Utah","",https://www.cdc.gov/niosh/talkingsafety/states/UT/2015-159/,,2015-159,,,
Jan 2015,"NIOSH Youth@Work-Talking Safety Curriculum for Texas","",https://www.cdc.gov/niosh/talkingsafety/states/TX/2015-158/,,2015-158,,,
