"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2012 found at http://www.cdc.gov/mmwr/pdf/ss/ss6410.pdf",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York (City and State),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
,Missouri,--,0 ,0 ,--,--,--,0 ,0 ,0 ,--,--,0 ,0 ,413 ,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,--,--,"5,166 ",0 ,--,0 ,0 ,0 ,0 ,--,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,--,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,--,5624
,Montana,0 ,--,0 ,0 ,--,--,0 ,0 ,0 ,--,0 ,0 ,50 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,"1,802 ",0 ,--,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,--,0 ,0 ,0 ,--,0 ,0 ,--,0 ,--,--,0 ,--,110 ,0 ,--,0 ,0 ,0 ,0,2031
,Nebraska,0 ,--,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,185 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,--,0 ,"2,047 ",0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,0 ,--,--,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,2299
,Nevada,0 ,0 ,161 ,--,103 ,--,0 ,0 ,0 ,0 ,0 ,--,--,--,0 ,0 ,0 ,0 ,--,--,0 ,0 ,--,--,--,--,--,--,"6,683 ",0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,--,0 ,--,98 ,0 ,0 ,--,0 ,--,0 ,0 ,--,0 ,--,0 ,130,7218
,New Hampshire**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,New Jersey,0 ,0 ,--,0 ,--,0 ,--,72 ,--,--,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,0 ,0 ,0 ,0 ,--,0 ,"21,830 ",0 ,176 ,--,0,--,0,0,795,--,--,0,--,--,0,0,--,0,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22953
,New Mexico,--,--,--,--,--,--,--,0 ,0 ,--,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,0 ,--,"3,131 ",--,0 ,0 ,0 ,--,--,--,--,--,0 ,--,165 ,--,0 ,0 ,0 ,0 ,--,0 ,0 ,--,--,0 ,--,57,3517
,New York State,0 ,0 ,--,0 ,--,--,114 ,--,--,--,0 ,0 ,0 ,--,--,--,0 ,--,--,--,--,--,--,0 ,0 ,0 ,0 ,--,--,0 ,--,0 ,"29,072 ",--,0 ,--,0 ,0 ,552 ,--,0 ,0 ,0 ,--,0 ,--,--,--,0 ,--,0 ,0 ,--,0 ,--,696 ,--,30555
,New York City,--,--,--,0 ,--,--,96 ,--,--,--,--,--,0 ,--,--,--,0 ,--,0 ,--,--,--,--,--,--,--,0 ,0 ,--,--,978 ,0 ,"72,157 ",--,0 ,--,--,0 ,132 ,--,--,0 ,--,--,0 ,--,--,--,0 ,0 ,0 ,--,--,--,0 ,--,199,73815
,North Carolina,--,0 ,--,--,--,--,--,--,--,--,64 ,0 ,0 ,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,0 ,0 ,0 ,--,--,0 ,--,"20,379 ",0 ,--,--,0 ,--,0 ,"2,918 ",0 ,72 ,--,0 ,0 ,598 ,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,271,24439
,North Dakota,0 ,--,0 ,0 ,--,0 ,0 ,0 ,0 ,--,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,331 ,0 ,0 ,--,0 ,0 ,0 ,0 ,--,--,0 ,917 ,0 ,--,0 ,0 ,0 ,--,55 ,0 ,--,--,0 ,0 ,--,0 ,--,--,0 ,--,0 ,0 ,0 ,0,1330
,Ohio,--,0 ,0 ,0 ,--,--,0 ,0 ,0 ,--,--,0 ,--,--,327 ,0 ,--,749 ,--,--,--,0 ,69 ,0 ,0 ,0 ,--,--,--,--,--,0 ,--,--,--,"24,080 ",0 ,0 ,135 ,0 ,0 ,0 ,--,--,0 ,0 ,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,25473
,Oklahoma,0 ,0 ,0 ,174 ,--,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,--,0 ,170 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,103 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,--,--,"4,644 ",--,0 ,0 ,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0,5150
,Oregon,0 ,--,--,0 ,--,--,0 ,0 ,0 ,0 ,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,0 ,0 ,--,0 ,--,--,--,0 ,--,--,0 ,--,--,"8,133 ",0 ,0 ,0 ,0 ,0 ,--,--,0 ,--,785 ,0 ,0 ,0 ,--,--,0 ,--,0 ,--,9016
,Pennsylvania,0 ,0 ,0 ,0 ,0 ,0 ,0 ,205 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,390 ,0 ,--,0 ,0 ,307 ,0 ,0 ,"33,166 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,330 ,0 ,0 ,0 ,0 ,0 ,--,78 ,0,34536
,Rhode Island,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,573 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,--,0 ,0 ,0 ,0 ,0 ,--,"2,915 ",0 ,0 ,--,0 ,0 ,--,--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,3549
,South Carolina,--,0 ,0 ,0 ,--,0 ,--,--,0 ,--,93 ,--,--,--,0 ,0 ,0 ,--,0 ,0 ,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,--,99 ,0 ,--,0 ,--,--,--,"5,852 ",0 ,--,--,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,6084
,South Dakota,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,554 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,634
,Tennessee,65 ,0 ,0 ,681 ,--,--,--,0 ,0 ,--,56 ,--,0 ,--,--,0 ,--,931 ,--,0 ,0 ,--,--,0 ,"1,943 ",77 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,--,--,--,--,0 ,--,0 ,"11,968 ",--,0 ,--,--,0 ,0 ,--,0 ,--,0 ,0 ,0 ,0 ,0,15859
,Texas,--,--,--,--,--,--,0 ,--,0 ,--,--,--,--,--,--,--,--,--,579 ,0 ,--,--,--,--,--,--,0 ,--,--,0 ,--,418 ,--,--,--,--,347 ,--,--,--,--,0 ,--,"66,001 ",--,--,--,--,0 ,--,0 ,--,0 ,440 ,--,--,144,68201
,Utah,0 ,0 ,--,0 ,--,--,0 ,0 ,0 ,--,0 ,0 ,118 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,--,0 ,0 ,0 ,--,--,--,0 ,0 ,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,"3,018 ",0 ,0 ,--,0 ,0 ,83 ,0 ,0 ,0 ,0 ,0 ,0,3273
,Vermont,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,--,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,0 ,--,0 ,"1,182 ",--,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,--,1270
,Virginia,--,0 ,--,--,--,0 ,--,--,216 ,--,--,0 ,0 ,--,--,0 ,0 ,--,--,0 ,629 ,--,--,0 ,--,0 ,--,0 ,--,--,--,0 ,--,417 ,--,--,--,--,--,0 ,--,0 ,--,--,0 ,--,"21,400 ",--,69 ,--,0 ,0 ,0 ,0 ,--,0 ,0,22916
,Washington,0 ,161 ,--,--,--,--,--,0 ,0 ,--,--,--,363 ,--,--,0 ,--,0 ,0 ,0 ,0 ,--,--,0 ,0 ,--,--,0 ,--,--,--,0 ,--,**,--,--,0 ,219 ,--,0 ,--,0 ,--,--,--,0 ,--,"17,465 ",0 ,--,--,0 ,--,0 ,--,--,--,18386
,West Virginia,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,116 ,0 ,0 ,--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,113 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,"1,580 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,1828
,Wisconsin,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,153 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,692 ",0 ,0 ,0 ,0 ,0 ,--,0,6927
,Wyoming,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0,--
,Total by residence,"8,380 ","1,755 ","13,404 ","4,284 ",335 ,"9,120 ","11,868 ","3,519 ",228 ,457 ,"28,079 ","2,826 ","1,943 ","40,646 ","9,800 ","4,127 ","3,935 ","5,367 ","8,488 ","1,002 ",993 ,"17,430 ","23,059 ","10,160 ","5,485 ","10,954 ","1,830 ","2,138 ","6,765 ",53 ,"23,357 ","3,677 ","101,674 ","21,122 ","1,022 ","24,985 ","5,117 ","8,408 ","35,125 ","3,015 ","10,396 ",752 ,"12,865 ","66,349 ","3,155 ","1,197 ","22,141 ","18,273 ","2,026 ","7,796 ",658 ,--,84 ,510 ,--,"3,735 ","83,289 ","699,202 "
"""--""  Reporting area did not report, or data not reportable by CDC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Reporting area did not report, or only reported by occurrence; because abortion numbers by residence are available only from other reporting areas where residents obtained abortions, data by state of maternal residence should be interpreted with caution. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
