"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2013 found at https://www.cdc.gov/mmwr/volumes/65/ss/ss6512a1.htm?s_cid=ss6512a1_w",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York (city and state),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
,Missouri,0,0,0,--,--,--,0,0,0,--,0,0,0,387,--,--,--,--,0,0,--,0,--,0,--,"4,985",0,0,0,0,0,--,0,--,0,--,--,0,0,0,0,0,--,--,0,0,0,--,0,--,0,0,0,0,0,0,0,"5,416"
,Montana,0,0,0,0,--,--,0,0,0,--,--,0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,"1,622",--,0,0,0,0,0,0,--,0,0,--,0,0,0,--,0,--,0,0,--,--,0,0,119,0,0,0,0,0,0,"1,842"
,Nebraska,0,0,0,--,0,0,0,0,0,--,--,0,0,0,0,129,--,0,0,0,0,0,0,--,0,--,0,"1,992",--,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,177"
,Nevada,--,0,100,--,111,--,--,0,0,--,0,0,--,--,0,0,--,--,--,--,0,0,--,--,0,--,--,0,"5,625",0,--,0,0,0,0,--,0,--,--,0,0,0,0,--,86,0,--,--,0,--,0,0,--,0,0,0,90,"6,056"
,New Hampshire**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,New Jersey,0,0,0,0,--,--,--,90,--,--,--,0,0,0,--,0,0,0,0,0,--,--,0,--,0,0,0,0,0,0,"20,642",0,174,--,0,0,0,--,743,--,--,0,0,0,0,0,--,0,--,--,0,0,0,0,0,0,0,"21,720"
,New Mexico,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3407,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,233,"4,198"
,New York,0,--,0,0,--,0,107,--,--,--,--,0,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,0,0,--,56,0,"26,612",0,0,--,0,0,502,0,--,0,0,--,0,--,--,--,--,0,0,--,--,0,--,0,847,"28,206"
,New York City,--,--,--,0,--,--,65,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,"1,025",0,"68,153",--,0,--,0,--,124,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,75,156,"69,840"
,North Carolina,--,--,--,0,--,--,--,--,--,--,58,0,0,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,0,0,--,--,--,"19,285",0,--,0,0,--,--,"2,414",0,52,--,--,--,653,0,--,0,0,0,0,0,0,0,225,"22,820"
,North Dakota,0,0,--,0,--,--,0,0,0,0,--,0,--,0,0,0,0,--,0,0,0,0,--,322,0,0,0,--,0,0,0,0,0,--,791,0,0,--,--,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,0,0,"1,182"
,Ohio,0,0,--,0,--,--,0,0,--,--,--,--,0,--,212,--,--,696,--,0,0,0,67,--,--,--,0,0,0,0,--,--,--,--,0,"22,011",--,0,149,0,--,0,--,--,--,0,--,0,--,--,0,0,0,0,0,0,--,"23,216"
,Oklahoma,0,0,0,180,--,--,0,0,0,--,--,0,--,0,0,0,88,0,--,0,0,--,0,0,--,70,--,0,0,0,--,--,0,--,0,0,"4,587",0,0,0,0,0,0,59,0,0,0,--,0,0,0,0,0,0,0,0,--,"5,013"
,Oregon,0,--,--,0,--,--,--,0,0,--,--,--,--,--,0,0,0,0,0,0,0,--,0,0,0,--,--,0,0,0,0,0,--,0,--,0,0,"7,528",--,--,0,0,--,--,--,0,0,678,0,0,--,--,--,0,--,0,--,"8,287"
,Pennsylvania,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,334,0,--,0,0,291,0,0,"30,749",0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,--,90,0,"32,108"
,Rhode Island,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,--,0,522,0,0,0,0,0,0,0,--,--,0,--,0,0,--,0,0,--,"2,667",0,0,0,--,--,--,0,0,0,0,0,0,0,0,--,0,--,"3,251"
,South Carolina,--,0,0,0,0,0,0,0,0,--,64,0,0,--,0,0,--,--,0,0,--,--,0,0,--,--,0,0,0,0,--,0,--,118,0,--,0,0,--,0,"5,643",0,--,--,0,0,--,--,--,0,--,0,--,0,--,0,--,"5,878"
,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,526,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,601
,Tennessee,61,0,--,499,--,0,0,0,0,--,--,0,0,--,--,--,--,813,--,0,--,0,--,--,"1,637",65,0,0,0,0,--,0,--,--,0,--,--,--,0,0,--,0,"10,971",--,0,0,--,--,--,--,0,0,0,0,0,0,0,"14,216"
,Texas,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,0,--,--,667,0,--,--,--,0,--,--,--,--,--,--,--,327,--,--,0,--,295,--,--,0,--,0,--,"61,231",--,0,--,--,0,0,--,--,--,398,--,0,--,"63,168"
,Utah,0,--,--,0,--,--,0,0,0,0,--,0,97,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,--,0,--,0,0,0,--,0,0,0,0,0,0,0,0,--,"2,893",0,0,0,--,0,65,0,0,0,0,0,0,"3,102"
,Vermont,0,0,0,0,0,0,--,0,0,--,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,"1,150",0,0,0,0,0,0,--,0,--,0,0,"1,217"
,Virginia,--,0,--,--,--,--,--,--,146,--,--,--,0,--,--,0,--,--,--,0,478,--,--,--,--,--,0,0,--,--,--,--,--,311,0,--,--,--,--,0,--,0,--,--,0,0,"19,691",--,66,--,0,0,--,0,--,0,0,"20,852"
,Washington,--,148,--,0,--,--,0,0,0,--,--,--,332,--,--,0,--,0,--,0,--,--,0,0,0,0,--,0,--,0,--,--,--,0,--,0,--,206,--,0,0,0,--,--,--,0,--,"16,760",0,--,0,0,--,--,--,0,--,"17,592"
,West Virginia,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,122,0,0,--,0,0,0,0,0,0,--,0,0,--,0,--,--,0,129,0,0,--,0,--,0,--,--,0,0,--,--,"1,586",0,0,0,0,0,0,0,--,"1,876"
,Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,--,0,0,0,0,0,0,115,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,251",0,0,0,0,--,--,0,"6,462"
,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--
,Total by residence,"7,863","1,525","13,441","3,938",341,"9,175","10,490","2,973","1,263",367,"27,521","1,957","1,811","37,897","9,239","3,862","3,885","5,004","9,491","1,887","1,510","18,693","25,781","9,429","5,137","10,340","1,653","2,076","5,692",87,"22,160","3,912","95,143","19,908",899,"23,108","5,009","7,778","32,554","2,752","9,798",738,"11,895","61,812","3,033","1,169","21,227","17,475","1,973","7,415",600,--,74,403,134,"3,022","76,110","664,435"
"""--""  Reporting area did not report, or data not reportable by CDC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Reporting area did not report, or only reported by occurrence; because abortion numbers by residence are available only from other reporting areas where residents obtained abortions, data by state of maternal residence should be interpreted with caution. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
